state,best,wins
001012021,-1,-14
001012022,6,-16
001012100,-2,-1
001012101,-2,-1
001012102,-2,-1
001012110,-2,-1
001012111,-2,-1
001012112,-2,-1
001012120,-2,-1
001012121,-2,-1
001012122,-2,-1
001012200,0,-72
001012201,0,-13
001012202,7,-11
001012210,1,-13
001012211,-1,-4
001012212,1,-2
001012220,8,-15
001012221,0,-4
001012222,-3,1
001020000,5,-2622
001020001,5,-333
001020002,0,-293
001020010,8,-432
001020011,-1,-52
001020012,0,-55
001020020,1,-317
001020021,1,-55
001020022,6,-27
001020100,7,-448
001020101,-1,-60
001020102,0,-73
001020110,8,-78
001020111,-2,-1
001020112,0,-15
001020120,1,-73
001020121,1,-13
001020122,1,-14
001020200,0,-344
001020201,5,-62
001020202,7,-50
001020210,8,-66
001020211,5,-13
001020212,0,-11
001020220,8,-44
001020221,1,-13
001020222,-3,1
001021000,8,-385
001021001,-2,-1
001021002,0,-61
001021010,8,-70
001021011,-2,-1
001021012,0,-11
001021020,1,-61
001021021,-2,-1
001021022,6,-9
001021100,8,-78
001021101,-2,-1
001021102,0,-15
001021110,8,-21
001021111,-2,-1
001021112,0,-3
001021120,1,-17
001021121,-2,-1
001021122,1,-4
001021200,8,-68
001021201,-2,-1
001021202,7,-10
001021210,8,-17
001021211,-2,-1
001021212,0,-3
001021220,8,-12
001021221,-2,-1
001021222,-3,1
001022000,3,-301
001022001,3,-55
001022002,3,-44
001022010,3,-55
001022011,3,-9
001022012,3,-10
001022020,3,-44
001022021,3,-10
001022022,6,-4
001022100,3,-73
001022101,3,-13
001022102,3,-14
001022110,3,-17
001022111,-2,-1
001022112,3,-4
001022120,3,-14
001022121,3,-4
001022122,3,-3
001022200,3,-67
001022201,3,-11
001022202,7,-9
001022210,3,-11
001022211,3,-3
001022212,3,-4
001022220,8,-9
001022221,3,-4
001022222,-3,1
001100000,-1,-2864
001100001,-1,-425
001100002,7,-480
001100010,-1,-552
001100011,-1,-80
001100012,4,-90
001100020,6,-464
001100021,-1,-72
001100022,6,-73
001100100,-1,-346
001100101,-1,-40
001100102,-1,-74
001100110,-1,-60
001100111,-2,-1
001100112,-1,-18
001100120,-1,-64
001100121,-1,-15
001100122,-1,-18
001100200,8,-400
001100201,-1,-52
001100202,7,-55
001100210,-1,-60
001100211,-1,-21
001100212,4,-16
001100220,8,-55
001100221,5,-17
001100222,-3,1
001101000,-1,-346
001101001,-2,-1
001101002,4,-78
001101010,-1,-80
001101011,-2,-1
001101012,4,-21
001101020,-1,-72
001101021,-2,-1
